EntrezID,logFC,baseMean,lfcSE,stat,P.Value,adj.P.Val,Symbols,Name
295231,1.0116,65.138,0.31939,3.1674,0.0015381,0.10106,Glmp,glycosylated lysosomal membrane protein
29491,0.54122,109.71,0.17095,3.166,0.0015456,0.10106,Itsn1,intersectin 1
65195,-2.2908,86.378,0.72488,-3.1603,0.001576,0.10216,Kcnd3,potassium voltage-gated channel subfamily D member 3
304092,-2.0255,183.27,0.6411,-3.1593,0.0015813,0.10216,Son,Son DNA binding protein
89843,-1.9834,16.907,0.62896,-3.1535,0.0016134,0.10361,Cxadr,"""CXADR, Ig-like cell adhesion molecule"""
29740,-1.5704,689.06,0.49897,-3.1473,0.0016481,0.10521,Eci1,enoyl-CoA delta isomerase 1
366588,4.1745,48.722,1.3287,3.1417,0.0016796,0.10659,Colec11,collectin sub-family member 11
25708,-2.5284,24.357,0.80629,-3.1358,0.0017136,0.10812,Ucp3,uncoupling protein 3
316643,3.7736,116.66,1.2091,3.121,0.0018025,0.1129,Chchd2,coiled-coil-helix-coiled-coil-helix domain containing 2
304733,-3.5915,4.1935,1.1523,-3.1168,0.0018281,0.1129,Epb41l5,erythrocyte membrane protein band 4.1 like 5
298689,-0.75651,155.21,0.24279,-3.116,0.0018334,0.1129,Ube2j2,"""ubiquitin-conjugating enzyme E2, J2"""
298683,1.1576,351.88,0.37156,3.1155,0.0018366,0.1129,Vwa1,von Willebrand factor A domain containing 1
311547,1.2627,135.09,0.40541,3.1146,0.0018416,0.1129,Foxs1,forkhead box S1
288454,-1.5006,30.539,0.4831,-3.1062,0.0018951,0.11552,Slc46a3,"""solute carrier family 46, member 3"""
84032,1.3637,2175.9,0.43953,3.1027,0.0019179,0.11556,Col3a1,collagen type III alpha 1 chain
304592,2.057,13.91,0.66323,3.1015,0.0019251,0.11556,Orai2,ORAI calcium release-activated calcium modulator 2
100174910,-2.1168,47.668,0.68286,-3.0999,0.0019358,0.11556,LOC100174910,glutaredoxin-like protein
308393,-3.5796,5.3557,1.1549,-3.0995,0.0019386,0.11556,Pnma8b,PNMA family member 8B
84402,1.8588,44.616,0.60077,3.0941,0.0019742,0.11602,Sfrp1,secreted frizzled-related protein 1
25341,3.6251,7.5011,1.173,3.0905,0.0019982,0.11602,Tnfrsf11b,TNF receptor superfamily member 11B
497761,-1.612,10.848,0.52167,-3.0901,0.0020009,0.11602,Cd2,Cd2 molecule
287435,1.1294,45.723,0.36573,3.088,0.0020149,0.11602,Cd68,Cd68 molecule
114031,1.5166,20.36,0.49145,3.0859,0.0020295,0.11602,Fstl3,follistatin like 3
685174,0.88076,128.61,0.28545,3.0855,0.0020322,0.11602,Cnpy3,canopy FGF signaling regulator 3
314600,-1.0602,66.047,0.34368,-3.0849,0.0020361,0.11602,Zfp955a,zinc finger protein 955A
304785,-1.6201,14.337,0.52535,-3.0839,0.0020428,0.11602,Slc45a3,"""solute carrier family 45, member 3"""
307839,-2.1733,122.19,0.70472,-3.0839,0.0020432,0.11602,Zfp612,zinc finger protein 612
291984,1.4322,59.571,0.46469,3.082,0.0020562,0.11615,Dpep2,dipeptidase 2
361003,3.1612,6.0833,1.0263,3.0801,0.0020696,0.1163,Dupd1,dual specificity phosphatase and pro isomerase domain containing 1
246118,2.4043,8.3838,0.78169,3.0758,0.0020994,0.11736,Tubb3,"""tubulin, beta 3 class III"""
245955,1.3104,88.949,0.42807,3.0611,0.002205,0.12196,Lgals3bp,galectin 3 binding protein
29278,0.53327,329.03,0.17427,3.0601,0.0022124,0.12196,Lasp1,LIM and SH3 protein 1
360639,1.1237,46.234,0.36727,3.0595,0.0022171,0.12196,Dcakd,dephospho-CoA kinase domain containing
64512,1.13,39.289,0.36949,3.0582,0.002227,0.12196,Fzd2,frizzled class receptor 2
684050,1.0557,104.68,0.34556,3.055,0.0022509,0.12201,PCOLCE2,procollagen C-endopeptidase enhancer 2
64526,-1.2259,1380.7,0.40128,-3.0549,0.0022516,0.12201,Ech1,enoyl-CoA hydratase 1
192248,1.1645,682.51,0.38143,3.053,0.002266,0.12201,Cdh13,cadherin 13
353227,2.3506,42.122,0.77016,3.052,0.002273,0.12201,Zbtb16,zinc finger and BTB domain containing 16
310448,1.3653,35.54,0.4479,3.0482,0.0023021,0.12201,Igsf10,"""immunoglobulin superfamily, member 10"""
684192,5.5808,6.6671,1.832,3.0463,0.0023167,0.12201,Rcor3,REST corepressor 3
140931,-1.4247,445.75,0.46845,-3.0412,0.0023562,0.12201,Hnrnph1,heterogeneous nuclear ribonucleoprotein H1
292671,-2.2039,29.485,0.7248,-3.0408,0.0023597,0.12201,Mill1,MHC I like leukocyte 1
362201,-0.64979,95.389,0.21371,-3.0405,0.0023616,0.12201,Ccndbp1,cyclin D1 binding protein 1
114587,-5.0184,1.6035,1.6508,-3.0399,0.0023665,0.12201,Dlk1,delta like non-canonical Notch ligand 1
116673,1.4176,201.08,0.46645,3.0392,0.0023719,0.12201,Sdc3,syndecan 3
29596,0.82432,63.528,0.27148,3.0364,0.0023939,0.12201,Ifrd1,interferon-related developmental regulator 1
60350,1.131,40.606,0.37271,3.0345,0.0024092,0.12201,Cd14,CD14 molecule
297339,1.0536,416.28,0.34722,3.0344,0.0024099,0.12201,Capg,"""capping actin protein, gelsolin like"""
691631,5.2285,13.005,1.7243,3.0323,0.0024269,0.12201,Pacs2,phosphofurin acidic cluster sorting protein 2
498545,1.0779,585.81,0.35559,3.0312,0.0024358,0.12201,Tsc22d1,"""TSC22 domain family, member 1"""
29142,0.84464,146.83,0.27867,3.031,0.0024376,0.12201,Vnn1,vanin 1
311919,7.025,21.68,2.3184,3.0301,0.0024448,0.12201,Golga1,golgin A1
362246,1.2124,576.47,0.40025,3.029,0.0024533,0.12201,Tp53inp2,tumor protein p53 inducible nuclear protein 2
499300,-1.5268,19.102,0.50406,-3.029,0.0024539,0.12201,Ptprcap,"""protein tyrosine phosphatase, receptor type, C-associated protein"""
680434,-2.9747,54.464,0.98306,-3.026,0.0024783,0.1226,Dqx1,DEAQ box RNA-dependent ATPase 1
499561,-0.89749,66.111,0.29672,-3.0247,0.0024887,0.1226,Atpsckmt,ATP synthase c subunit lysine N-methyltransferase
497942,1.1035,228.31,0.36541,3.02,0.0025278,0.12397,Cxcl16,C-X-C motif chemokine ligand 16
116639,0.91278,202.24,0.30328,3.0097,0.0026154,0.12768,Cux1,cut-like homeobox 1
25152,1.7391,296.86,0.57886,3.0044,0.0026614,0.12934,Map1a,microtubule-associated protein 1A
290224,-1.2164,61.427,0.40511,-3.0027,0.0026756,0.12945,Emc9,ER membrane protein complex subunit 9
29543,0.78516,550.99,0.26202,2.9965,0.0027308,0.13078,Timp2,TIMP metallopeptidase inhibitor 2
100359731,2.9916,64.102,0.99857,2.9959,0.0027364,0.13078,Tipinl1,TIMELESS interacting protein like 1
25533,-1.6861,98.868,0.56287,-2.9956,0.0027394,0.13078,Rabggtb,Rab geranylgeranyltransferase subunit beta
25544,1.7976,61.053,0.60088,2.9916,0.0027751,0.1319,Sele,selectin E
680021,-0.98457,42.587,0.32979,-2.9854,0.002832,0.13401,Grhpr,glyoxylate and hydroxypyruvate reductase
81780,-1.179,54.207,0.39621,-2.9757,0.0029228,0.1377,Ccl5,C-C motif chemokine ligand 5
288734,6.5938,12.894,2.2183,2.9725,0.0029539,0.13856,Chfr,checkpoint with forkhead and ring finger domains
65172,6.3748,11.738,2.1471,2.969,0.0029875,0.13953,Limk1,LIM domain kinase 1
81801,1.5306,28.939,0.51609,2.9657,0.0030195,0.1399,Stc1,stanniocalcin 1
288527,-0.69209,171.73,0.23345,-2.9647,0.00303,0.1399,Asmtl,acetylserotonin O-methyltransferase-like
316033,7.3817,20.514,2.4902,2.9642,0.0030342,0.1399,Glb1,"""galactosidase, beta 1"""
361822,-1.5444,15.654,0.52214,-2.9579,0.0030974,0.1422,Ybey,ybeY metalloendoribonuclease
308326,-1.2265,21.451,0.41495,-2.9557,0.0031201,0.14264,Zfp667,zinc finger protein 667
246245,-1.307,391.87,0.4424,-2.9543,0.0031338,0.14266,Fmo2,flavin containing dimethylaniline monoxygenase 2
24208,-3.1904,5.4019,1.0804,-2.953,0.0031471,0.14266,Ar,androgen receptor
29452,1.0679,87.616,0.36206,2.9495,0.0031824,0.14366,Epas1,endothelial PAS domain protein 1
295928,6.4261,10.26,2.1832,2.9434,0.0032458,0.14508,Slc39a13,solute carrier family 39 member 13
309400,-7.1823,44.68,2.4401,-2.9434,0.0032459,0.14508,Cemip2,cell migration inducing hyaluronidase 2
29687,0.94934,136.97,0.32261,2.9426,0.0032543,0.14508,C1qb,complement C1q B chain
114861,0.76678,287.44,0.26153,2.9319,0.0033694,0.1496,Scpep1,serine carboxypeptidase 1
300721,1.2598,189.52,0.43056,2.9259,0.0034343,0.15186,Dnaja4,DnaJ heat shock protein family (Hsp40) member A4
58845,-0.52384,115.64,0.17919,-2.9235,0.0034618,0.15244,Igbp1,immunoglobulin binding protein 1
301024,0.63036,119.38,0.21587,2.9201,0.0034996,0.15348,Scap,SREBF chaperone
140593,5.0883,6.7823,1.7453,2.9154,0.003552,0.15515,Siah2,siah E3 ubiquitin protein ligase 2
311569,-1.4224,94.398,0.48825,-2.9133,0.0035764,0.15559,Acss2,acyl-CoA synthetase short-chain family member 2
498096,-1.6324,12.996,0.56159,-2.9068,0.0036517,0.15707,Smco1,single-pass membrane protein with coiled-coil domains 1
310483,7.7035,23.491,2.6504,2.9066,0.0036542,0.15707,Mlf1,myeloid leukemia factor 1
316351,-1.9381,42.829,0.6674,-2.904,0.0036843,0.15707,Npas2,neuronal PAS domain protein 2
361442,6.181,19.623,2.129,2.9032,0.0036942,0.15707,Sipa1l2,signal-induced proliferation-associated 1 like 2
257645,0.54963,256.93,0.18935,2.9028,0.0036988,0.15707,Itgb5,integrin subunit beta 5
